personna; day ; event; time
cadre;2016-2-2;shower_off;6:56
cadre;2016-2-2;toothbrush;6:58
cadre;2016-2-3;door;7:0
cadre;2016-2-3;light_off;6:58
cadre;2016-2-3;clock;6:0
cadre;2016-2-3;heater;5:30
cadre;2016-2-3;light_on;6:1
cadre;2016-2-3;coffee;6:12
cadre;2016-2-3;shower_on;6:21
cadre;2016-2-3;shower_off;6:27
cadre;2016-2-3;toothbrush;6:29
cadre;2016-2-4;door;8:30
cadre;2016-2-4;meeting_happens;9:10
cadre;2016-2-4;light_off;8:28
cadre;2016-2-4;clock;7:30
cadre;2016-2-4;heater;7:0
cadre;2016-2-4;light_on;7:31
cadre;2016-2-4;coffee;7:46
cadre;2016-2-4;shower_on;7:57
cadre;2016-2-4;shower_off;8:3
cadre;2016-2-4;toothbrush;8:5
cadre;2016-2-5;door;8:15
cadre;2016-2-5;light_off;8:13
cadre;2016-2-5;clock;7:15
cadre;2016-2-5;heater;6:45
cadre;2016-2-5;light_on;7:16
cadre;2016-2-5;coffee;7:23
cadre;2016-2-5;shower_on;7:36
cadre;2016-2-5;shower_off;7:42
cadre;2016-2-5;toothbrush;7:44
cadre;2016-2-6;door;9:00
cadre;2016-2-6;light_off;8:58
cadre;2016-2-6;tv_off;8:55
cadre;2016-2-6;clock;7:30
cadre;2016-2-6;heater;7:0
cadre;2016-2-6;light_on;7:31
cadre;2016-2-6;coffee;7:47
cadre;2016-2-6;tv_on;7:47
cadre;2016-2-6;shower_on;8:19
cadre;2016-2-6;shower_off;8:28
cadre;2016-2-6;toothbrush;8:30
cadre;2016-2-7;clock;6:30
cadre;2016-2-7;heater;6:0
cadre;2016-2-7;light_on;9:14
cadre;2016-2-7;coffee;9:19
cadre;2016-2-7;door;9:22
cadre;2016-2-8;door;8:0
cadre;2016-2-8;light_off;7:58
cadre;2016-2-8;clock;7:0
cadre;2016-2-8;heater;6:30
cadre;2016-2-8;light_on;7:1
cadre;2016-2-8;coffee;7:8
cadre;2016-2-8;shower_on;7:18
cadre;2016-2-8;shower_off;7:24
cadre;2016-2-8;toothbrush;7:26
cadre;2016-2-9;door;8:0
cadre;2016-2-9;light_off;7:58
cadre;2016-2-9;clock;7:0
cadre;2016-2-9;heater;6:30
cadre;2016-2-9;light_on;7:1
cadre;2016-2-9;coffee;7:9
cadre;2016-2-9;shower_on;7:18
cadre;2016-2-9;shower_off;7:23
cadre;2016-2-9;toothbrush;7:25
cadre;2016-2-10;door;8:0
cadre;2016-2-10;light_off;7:58
cadre;2016-2-10;clock;7:0
cadre;2016-2-10;heater;6:30
cadre;2016-2-10;light_on;7:1
cadre;2016-2-10;coffee;7:13
cadre;2016-2-10;shower_on;7:25
cadre;2016-2-10;shower_off;7:32
cadre;2016-2-10;toothbrush;7:34
cadre;2016-2-11;door;8:15
cadre;2016-2-11;meeting_happens;8:55
cadre;2016-2-11;light_off;8:13
cadre;2016-2-11;clock;7:15
cadre;2016-2-11;heater;6:45
cadre;2016-2-11;light_on;7:16
cadre;2016-2-11;coffee;7:28
cadre;2016-2-11;shower_on;7:40
cadre;2016-2-11;shower_off;7:45
cadre;2016-2-11;toothbrush;7:47
cadre;2016-2-12;door;7:30
cadre;2016-2-12;light_off;7:28
cadre;2016-2-12;clock;6:30
cadre;2016-2-12;heater;6:0
cadre;2016-2-12;light_on;6:31
cadre;2016-2-12;coffee;6:39
cadre;2016-2-12;shower_on;6:49
cadre;2016-2-12;shower_off;6:54
cadre;2016-2-12;toothbrush;6:56
cadre;2016-2-13;door;10:00
cadre;2016-2-13;light_off;9:58
cadre;2016-2-13;tv_off;9:55
cadre;2016-2-13;clock;8:30
cadre;2016-2-13;heater;8:0
cadre;2016-2-13;light_on;8:31
cadre;2016-2-13;coffee;8:46
cadre;2016-2-13;tv_on;8:46
cadre;2016-2-13;shower_on;9:21
cadre;2016-2-13;shower_off;9:30
cadre;2016-2-13;toothbrush;9:32
cadre;2016-2-14;door;10:00
cadre;2016-2-14;light_off;9:58
cadre;2016-2-14;tv_off;9:55
cadre;2016-2-14;clock;8:30
cadre;2016-2-14;heater;8:0
cadre;2016-2-14;light_on;8:31
cadre;2016-2-14;coffee;8:46
cadre;2016-2-14;tv_on;8:46
cadre;2016-2-14;shower_on;9:18
cadre;2016-2-14;shower_off;9:28
cadre;2016-2-14;toothbrush;9:30
cadre;2016-2-15;door;7:15
cadre;2016-2-15;light_off;7:13
cadre;2016-2-15;clock;6:15
cadre;2016-2-15;heater;5:45
cadre;2016-2-15;light_on;6:16
cadre;2016-2-15;coffee;6:28
cadre;2016-2-15;shower_on;6:37
cadre;2016-2-15;shower_off;6:43
cadre;2016-2-15;toothbrush;6:45
cadre;2016-2-16;door;7:0
cadre;2016-2-16;light_off;6:58
cadre;2016-2-16;clock;6:0
cadre;2016-2-16;heater;5:30
cadre;2016-2-16;light_on;6:1
cadre;2016-2-16;coffee;6:11
cadre;2016-2-16;shower_on;6:22
cadre;2016-2-16;shower_off;6:29
cadre;2016-2-16;toothbrush;6:31
cadre;2016-2-17;door;8:0
cadre;2016-2-17;light_off;7:58
cadre;2016-2-17;clock;7:0
cadre;2016-2-17;heater;6:30
cadre;2016-2-17;light_on;7:1
cadre;2016-2-17;coffee;7:12
cadre;2016-2-17;shower_on;7:24
cadre;2016-2-17;shower_off;7:29
cadre;2016-2-17;toothbrush;7:31
cadre;2016-2-18;door;8:15
cadre;2016-2-18;light_off;8:13
cadre;2016-2-18;clock;7:15
cadre;2016-2-18;heater;6:45
cadre;2016-2-18;light_on;7:16
cadre;2016-2-18;coffee;7:23
cadre;2016-2-18;shower_on;7:34
cadre;2016-2-18;shower_off;7:38
cadre;2016-2-18;toothbrush;7:40
cadre;2016-2-19;door;8:15
cadre;2016-2-19;light_off;8:13
cadre;2016-2-19;clock;7:15
cadre;2016-2-19;heater;6:45
cadre;2016-2-19;light_on;7:16
cadre;2016-2-19;coffee;7:27
cadre;2016-2-19;shower_on;7:37
cadre;2016-2-19;shower_off;7:44
cadre;2016-2-19;toothbrush;7:46
cadre;2016-2-20;door;10:00
cadre;2016-2-20;light_off;9:58
cadre;2016-2-20;tv_off;9:55
cadre;2016-2-20;clock;8:30
cadre;2016-2-20;heater;8:0
cadre;2016-2-20;light_on;8:31
cadre;2016-2-20;coffee;8:43
cadre;2016-2-20;tv_on;8:43
cadre;2016-2-20;shower_on;9:17
cadre;2016-2-20;shower_off;9:30
cadre;2016-2-20;toothbrush;9:32
cadre;2016-2-21;door;9:00
cadre;2016-2-21;light_off;8:58
cadre;2016-2-21;tv_off;8:55
cadre;2016-2-21;clock;7:30
cadre;2016-2-21;heater;7:0
cadre;2016-2-21;light_on;7:31
cadre;2016-2-21;coffee;7:48
cadre;2016-2-21;tv_on;7:48
cadre;2016-2-21;shower_on;8:13
cadre;2016-2-21;shower_off;8:23
cadre;2016-2-21;toothbrush;8:25
cadre;2016-2-22;door;7:30
cadre;2016-2-22;light_off;7:28
cadre;2016-2-22;clock;6:30
cadre;2016-2-22;heater;6:0
cadre;2016-2-22;light_on;6:31
cadre;2016-2-22;coffee;6:41
cadre;2016-2-22;shower_on;6:54
cadre;2016-2-22;shower_off;6:59
cadre;2016-2-22;toothbrush;7:1
cadre;2016-2-23;door;8:0
cadre;2016-2-23;light_off;7:58
cadre;2016-2-23;clock;7:0
cadre;2016-2-23;heater;6:30
cadre;2016-2-23;light_on;7:1
cadre;2016-2-23;coffee;7:13
cadre;2016-2-23;shower_on;7:22
cadre;2016-2-23;shower_off;7:26
cadre;2016-2-23;toothbrush;7:28
cadre;2016-2-24;door;7:45
cadre;2016-2-24;light_off;7:43
cadre;2016-2-24;clock;6:45
cadre;2016-2-24;heater;6:15
cadre;2016-2-24;light_on;6:46
cadre;2016-2-24;coffee;6:55
cadre;2016-2-24;shower_on;7:3
cadre;2016-2-24;shower_off;7:8
cadre;2016-2-24;toothbrush;7:10
cadre;2016-2-25;door;8:15
cadre;2016-2-25;light_off;8:13
cadre;2016-2-25;clock;7:15
cadre;2016-2-25;heater;6:45
cadre;2016-2-25;light_on;7:16
cadre;2016-2-25;coffee;7:23
cadre;2016-2-25;shower_on;7:32
cadre;2016-2-25;shower_off;7:38
cadre;2016-2-25;toothbrush;7:40
cadre;2016-2-26;door;8:0
cadre;2016-2-26;light_off;7:58
cadre;2016-2-26;clock;7:0
cadre;2016-2-26;heater;6:30
cadre;2016-2-26;light_on;7:1
cadre;2016-2-26;coffee;7:12
cadre;2016-2-26;shower_on;7:25
cadre;2016-2-26;shower_off;7:29
cadre;2016-2-26;toothbrush;7:31
cadre;2016-2-27;door;10:00
cadre;2016-2-27;light_off;9:58
cadre;2016-2-27;tv_off;9:55
cadre;2016-2-27;clock;8:30
cadre;2016-2-27;heater;8:0
cadre;2016-2-27;light_on;8:31
cadre;2016-2-27;coffee;8:46
cadre;2016-2-27;tv_on;8:46
cadre;2016-2-27;shower_on;9:21
cadre;2016-2-27;shower_off;9:32
cadre;2016-2-27;toothbrush;9:34
cadre;2016-2-28;door;9:00
cadre;2016-2-28;light_off;8:58
cadre;2016-2-28;tv_off;8:55
cadre;2016-2-28;clock;7:30
cadre;2016-2-28;heater;7:0
cadre;2016-2-28;light_on;7:31
cadre;2016-2-28;coffee;7:48
cadre;2016-2-28;tv_on;7:48
cadre;2016-2-28;shower_on;8:21
cadre;2016-2-28;shower_off;8:33
cadre;2016-2-28;toothbrush;8:35
cadre;2016-2-29;door;7:0
cadre;2016-2-29;light_off;6:58
cadre;2016-2-29;clock;6:0
cadre;2016-2-29;heater;5:30
cadre;2016-2-29;light_on;6:1
cadre;2016-2-29;coffee;6:8
cadre;2016-2-29;shower_on;6:21
cadre;2016-2-29;shower_off;6:28
cadre;2016-2-29;toothbrush;6:30
cadre;2016-3-1;door;7:0
cadre;2016-3-1;light_off;6:58
cadre;2016-3-1;clock;6:0
cadre;2016-3-1;heater;5:30
cadre;2016-3-1;light_on;6:1
cadre;2016-3-1;coffee;6:13
cadre;2016-3-1;shower_on;6:21
cadre;2016-3-1;shower_off;6:26
cadre;2016-3-1;toothbrush;6:28
cadre;2016-3-2;door;7:45
cadre;2016-3-2;light_off;7:43
cadre;2016-3-2;clock;6:45
cadre;2016-3-2;heater;6:15
cadre;2016-3-2;light_on;6:46
cadre;2016-3-2;coffee;6:57
cadre;2016-3-2;shower_on;7:10
cadre;2016-3-2;shower_off;7:15
cadre;2016-3-2;toothbrush;7:17
cadre;2016-3-3;door;8:15
cadre;2016-3-3;light_off;8:13
cadre;2016-3-3;clock;7:15
cadre;2016-3-3;heater;6:45
cadre;2016-3-3;light_on;7:16
cadre;2016-3-3;coffee;7:27
cadre;2016-3-3;shower_on;7:38
cadre;2016-3-3;shower_off;7:42
cadre;2016-3-3;toothbrush;7:44
cadre;2016-3-4;door;7:45
cadre;2016-3-4;light_off;7:43
cadre;2016-3-4;clock;6:45
cadre;2016-3-4;heater;6:15
cadre;2016-3-4;light_on;6:46
cadre;2016-3-4;coffee;6:54
cadre;2016-3-4;shower_on;7:7
cadre;2016-3-4;shower_off;7:13
cadre;2016-3-4;toothbrush;7:15
cadre;2016-3-5;door;9:00
cadre;2016-3-5;light_off;8:58
cadre;2016-3-5;tv_off;8:55
cadre;2016-3-5;clock;7:30
cadre;2016-3-5;heater;7:0
cadre;2016-3-5;light_on;7:31
cadre;2016-3-5;coffee;7:48
cadre;2016-3-5;tv_on;7:48
cadre;2016-3-5;shower_on;8:18
cadre;2016-3-5;shower_off;8:26
cadre;2016-3-5;toothbrush;8:28
cadre;2016-3-6;door;9:00
cadre;2016-3-6;light_off;8:58
cadre;2016-3-6;tv_off;8:55
cadre;2016-3-6;clock;7:30
cadre;2016-3-6;heater;7:0
cadre;2016-3-6;light_on;7:31
cadre;2016-3-6;coffee;7:48
cadre;2016-3-6;tv_on;7:48
cadre;2016-3-6;shower_on;8:22
cadre;2016-3-6;shower_off;8:32
cadre;2016-3-6;toothbrush;8:34
cadre;2016-3-7;door;7:30
cadre;2016-3-7;light_off;7:28
cadre;2016-3-7;clock;6:30
cadre;2016-3-7;heater;6:0
cadre;2016-3-7;light_on;6:31
cadre;2016-3-7;coffee;6:38
cadre;2016-3-7;shower_on;6:47
cadre;2016-3-7;shower_off;6:52
cadre;2016-3-7;toothbrush;6:54
cadre;2016-3-8;door;8:0
cadre;2016-3-8;light_off;7:58
cadre;2016-3-8;clock;7:0
cadre;2016-3-8;heater;6:30
cadre;2016-3-8;light_on;7:1
cadre;2016-3-8;coffee;7:8
cadre;2016-3-8;shower_on;7:19
cadre;2016-3-8;shower_off;7:25
cadre;2016-3-8;toothbrush;7:27
cadre;2016-3-9;door;7:45
cadre;2016-3-9;light_off;7:43
cadre;2016-3-9;clock;6:45
cadre;2016-3-9;heater;6:15
cadre;2016-3-9;light_on;6:46
cadre;2016-3-9;coffee;6:55
cadre;2016-3-9;shower_on;7:6
cadre;2016-3-9;shower_off;7:13
cadre;2016-3-9;toothbrush;7:15
cadre;2016-3-10;door;8:45
cadre;2016-3-10;meeting_happens;9:25
cadre;2016-3-10;light_off;8:43
cadre;2016-3-10;clock;7:45
cadre;2016-3-10;heater;7:15
cadre;2016-3-10;light_on;7:46
cadre;2016-3-10;coffee;8:2
cadre;2016-3-10;shower_on;8:11
cadre;2016-3-10;shower_off;8:17
cadre;2016-3-10;toothbrush;8:19
cadre;2016-3-11;door;7:0
cadre;2016-3-11;light_off;6:58
cadre;2016-3-11;clock;6:0
cadre;2016-3-11;heater;5:30
cadre;2016-3-11;light_on;6:1
cadre;2016-3-11;coffee;6:13
cadre;2016-3-11;shower_on;6:23
cadre;2016-3-11;shower_off;6:30
cadre;2016-3-11;toothbrush;6:32
cadre;2016-3-12;clock;6:30
cadre;2016-3-12;heater;6:0
cadre;2016-3-12;light_on;8:36
cadre;2016-3-12;coffee;8:41
cadre;2016-3-12;door;8:44
cadre;2016-3-13;door;9:00
cadre;2016-3-13;light_off;8:58
cadre;2016-3-13;tv_off;8:55
cadre;2016-3-13;clock;7:30
cadre;2016-3-13;heater;7:0
cadre;2016-3-13;light_on;7:31
cadre;2016-3-13;coffee;7:44
cadre;2016-3-13;tv_on;7:44
cadre;2016-3-13;shower_on;8:7
cadre;2016-3-13;shower_off;8:18
cadre;2016-3-13;toothbrush;8:20
cadre;2016-3-14;door;7:15
cadre;2016-3-14;light_off;7:13
cadre;2016-3-14;clock;6:15
cadre;2016-3-14;heater;5:45
cadre;2016-3-14;light_on;6:16
cadre;2016-3-14;coffee;6:25
cadre;2016-3-14;shower_on;6:34
cadre;2016-3-14;shower_off;6:38
cadre;2016-3-14;toothbrush;6:40
cadre;2016-3-15;door;8:15
cadre;2016-3-15;light_off;8:13
cadre;2016-3-15;clock;7:15
cadre;2016-3-15;heater;6:45
cadre;2016-3-15;light_on;7:16
cadre;2016-3-15;coffee;7:25
cadre;2016-3-15;shower_on;7:35
cadre;2016-3-15;shower_off;7:39
cadre;2016-3-15;toothbrush;7:41
cadre;2016-3-16;door;8:15
cadre;2016-3-16;light_off;8:13
cadre;2016-3-16;clock;7:15
cadre;2016-3-16;heater;6:45
cadre;2016-3-16;light_on;7:16
cadre;2016-3-16;coffee;7:26
cadre;2016-3-16;shower_on;7:37
cadre;2016-3-16;shower_off;7:44
cadre;2016-3-16;toothbrush;7:46
cadre;2016-3-17;door;7:15
cadre;2016-3-17;light_off;7:13
cadre;2016-3-17;clock;6:15
cadre;2016-3-17;heater;5:45
cadre;2016-3-17;light_on;6:16
cadre;2016-3-17;coffee;6:25
cadre;2016-3-17;shower_on;6:38
cadre;2016-3-17;shower_off;6:43
cadre;2016-3-17;toothbrush;6:45
cadre;2016-3-18;door;8:0
cadre;2016-3-18;light_off;7:58
cadre;2016-3-18;clock;7:0
cadre;2016-3-18;heater;6:30
cadre;2016-3-18;light_on;7:1
